q,T_settle
0,22.670000000000744
0,23.190000000000826
0,23.54000000000088
0,21.510000000000563
0,20.03000000000033
0,24.300000000001
0,22.78000000000076
0,13.289999999999761
0,25.950000000001257
0,21.30000000000053
0,24.400000000001015
1,41.70000000000027
0,29.650000000001835
0,23.09000000000081
0,29.510000000001813
0,27.76000000000154
0,19.210000000000203
0,22.83000000000077
0,26.61000000000136
0,26.55000000000135
0,15.139999999999722
0,23.41000000000086
0,21.480000000000558
0,19.25000000000021
0,25.040000000001115
0,22.170000000000666
0,18.340000000000067
0,22.280000000000683
1,40.65000000000048
0,20.800000000000452
0,27.080000000001434
0,23.270000000000838
0,26.28000000000131
0,20.27000000000037
0,28.570000000001667
0,28.950000000001726
0,21.05000000000049
0,20.60000000000042
0,24.270000000000994
0,14.939999999999726
0,38.95000000000082
0,21.87000000000062
0,48.879999999998844
0,35.79000000000145
0,22.71000000000075
0,23.830000000000926
1,47.27999999999916
0,29.330000000001785
0,21.030000000000488
0,30.420000000001956
0,28.52000000000166
1,42.25000000000016
0,24.06000000000096
0,27.57000000000151
0,22.90000000000078
0,20.420000000000393
0,18.530000000000097
0,22.77000000000076
0,25.180000000001137
0,21.17000000000051
0,30.050000000001898
0,21.020000000000486
0,21.970000000000635
-1,46.77999999999926
0,22.160000000000664
0,25.740000000001224
0,16.56999999999979
-1,50.51999999999852
0,28.53000000000166
0,23.040000000000802
0,24.330000000001004
0,17.71999999999997
0,27.810000000001548
0,17.029999999999863
0,28.930000000001723
1,57.68999999999709
0,17.359999999999914
0,20.290000000000372
0,29.950000000001882
0,29.950000000001882
0,21.120000000000502
0,10.349999999999824
0,23.620000000000893
0,24.010000000000954
0,21.590000000000575
0,26.440000000001334
0,19.800000000000296
0,23.940000000000943
0,23.560000000000883
0,23.85000000000093
0,23.60000000000089
0,23.40000000000086
0,23.99000000000095
-1,43.199999999999974
0,25.880000000001246
0,20.130000000000347
0,19.39000000000023
0,16.209999999999734
0,19.37000000000023
1,40.65000000000048
